id,style,target_name,query,expected_standards,retrieved_standards,rank,hit_at_3,reciprocal_rank,latency_seconds
ROB-01-01,english_public_like,33 Grade Ordinary Portland Cement,We manufacture 33 Grade Ordinary Portland Cement. Which BIS standard covers it?,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0348
ROB-01-02,english_public_like,33 Grade Ordinary Portland Cement,What Indian Standard applies to 33 grade ordinary portland cement OPC chemical physical requirements?,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 455: 1989', 'IS 8043: 1991']",1,True,1.0,0.0341
ROB-01-03,english_public_like,33 Grade Ordinary Portland Cement,Need specification for 33 Grade Ordinary Portland Cement including requirements and testing.,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 455: 1989', 'IS 8043: 1991']",1,True,1.0,0.0338
ROB-01-04,english_public_like,33 Grade Ordinary Portland Cement,Find the IS code for a product described as 33 grade ordinary portland cement OPC chemical physical requirements.,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 455: 1989', 'IS 8043: 1991']",1,True,1.0,0.0384
ROB-01-05,short_telegraphic,33 Grade Ordinary Portland Cement,OPC 33 grade,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 8112: 1991']",1,True,1.0,0.0293
ROB-01-06,short_telegraphic,33 Grade Ordinary Portland Cement,OPC 33 grade BIS,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 8112: 1991']",1,True,1.0,0.04
ROB-01-07,short_telegraphic,33 Grade Ordinary Portland Cement,OPC 33 grade standard,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0476
ROB-01-08,underspecified,33 Grade Ordinary Portland Cement,normal cement grade 33,['IS 269: 1989'],"['IS 269: 1989', 'IS 8112: 1989', 'IS 12269: 1987', 'IS 8043: 1991', 'IS 1489 (Part 1): 1991']",1,True,1.0,0.0157
ROB-01-09,underspecified,33 Grade Ordinary Portland Cement,which standard for normal cement grade 33,['IS 269: 1989'],"['IS 269: 1989', 'IS 8112: 1989', 'IS 12269: 1987', 'IS 8043: 1991', 'IS 7834 (Part 6): 1987']",1,True,1.0,0.0237
ROB-01-10,noisy_typos,33 Grade Ordinary Portland Cement,33 grade ordinary portlnd cemnt opc chemicl phisical reqrmnts,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 8112: 1991']",1,True,1.0,0.0296
ROB-01-11,noisy_typos,33 Grade Ordinary Portland Cement,opc 33 grade specification,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0299
ROB-01-12,direct_code,33 Grade Ordinary Portland Cement,Tell me about IS 269: 1989,['IS 269: 1989'],"['IS 269: 1989', 'IS 12423: 1988', 'IS 12089: 1987', 'IS 3812: 1981', 'IS 8042: 1989']",1,True,1.0,0.0048
ROB-01-13,hinglish,33 Grade Ordinary Portland Cement,33 grade OPC cement ka BIS standard kya hai,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0323
ROB-01-14,hinglish,33 Grade Ordinary Portland Cement,OPC 33 grade ka IS code batao,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0457
ROB-01-15,hindi_devanagari,33 Grade Ordinary Portland Cement,33 ग्रेड साधारण पोर्टलैंड सीमेंट के लिए कौन सा BIS मानक है,['IS 269: 1989'],"['IS 269: 1989', 'IS 8043: 1991', 'IS 4032: 1985', 'IS 455: 1989', 'IS 8112: 1989']",1,True,1.0,0.0054
ROB-01-16,hindi_devanagari,33 Grade Ordinary Portland Cement,33 ग्रेड साधारण पोर्टलैंड सीमेंट के लिए कौन सा BIS मानक है कौन सा है,['IS 269: 1989'],"['IS 269: 1989', 'IS 8043: 1991', 'IS 4032: 1985', 'IS 455: 1989', 'IS 8112: 1989']",1,True,1.0,0.003
ROB-01-17,spanish,33 Grade Ordinary Portland Cement,cemento Portland ordinario grado 33 requisitos quimicos fisicos,['IS 269: 1989'],"['IS 269: 1989', 'IS 8043: 1991', 'IS 8112: 1989', 'IS 4032: 1985', 'IS 1489 (Part 2): 1991']",1,True,1.0,0.0091
ROB-01-18,spanish,33 Grade Ordinary Portland Cement,norma BIS para cemento Portland ordinario grado 33 requisitos quimicos fisicos,['IS 269: 1989'],"['IS 269: 1989', 'IS 8043: 1991', 'IS 8112: 1989', 'IS 4032: 1985', 'IS 1489 (Part 2): 1991']",1,True,1.0,0.0106
ROB-01-19,french,33 Grade Ordinary Portland Cement,ciment Portland ordinaire grade 33 exigences chimiques physiques,['IS 269: 1989'],"['IS 269: 1989', 'IS 8112: 1989', 'IS 12269: 1987', 'IS 8043: 1991', 'IS 1489 (Part 1): 1991']",1,True,1.0,0.0148
ROB-01-20,tamil_transliterated,33 Grade Ordinary Portland Cement,33 grade ordinary Portland cement standard enna,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0393
ROB-02-01,english_public_like,Coarse and Fine Aggregates,We manufacture Coarse and Fine Aggregates. Which BIS standard covers it?,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 9142: 1979']",1,True,1.0,0.033
ROB-02-02,english_public_like,Coarse and Fine Aggregates,What Indian Standard applies to coarse fine aggregates natural sources structural concrete?,['IS 383: 1970'],"['IS 383: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 5640: 1970', 'IS 3182: 1986']",1,True,1.0,0.0345
ROB-02-03,english_public_like,Coarse and Fine Aggregates,Need specification for Coarse and Fine Aggregates including requirements and testing.,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 1121 (Part 2): 1972', 'IS 3068: 1986', 'IS 2386: 1963']",1,True,1.0,0.0322
ROB-02-04,english_public_like,Coarse and Fine Aggregates,Find the IS code for a product described as coarse fine aggregates natural sources structural concrete.,['IS 383: 1970'],"['IS 383: 1970', 'IS 2686: 1977', 'IS 3068: 1986', 'IS 5640: 1970', 'IS 3182: 1986']",1,True,1.0,0.0449
ROB-02-05,short_telegraphic,Coarse and Fine Aggregates,natural aggregate concrete,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 9142: 1979']",1,True,1.0,0.0154
ROB-02-06,short_telegraphic,Coarse and Fine Aggregates,natural aggregate concrete BIS,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 9142: 1979']",1,True,1.0,0.0133
ROB-02-07,short_telegraphic,Coarse and Fine Aggregates,natural aggregate concrete standard,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 9142: 1979']",1,True,1.0,0.0247
ROB-02-08,underspecified,Coarse and Fine Aggregates,sand gravel for concrete,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 9142: 1979']",1,True,1.0,0.0261
ROB-02-09,underspecified,Coarse and Fine Aggregates,which standard for sand gravel for concrete,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 9142: 1979']",1,True,1.0,0.04
ROB-02-10,noisy_typos,Coarse and Fine Aggregates,coarse fine agregates natural sources structural concret,['IS 383: 1970'],"['IS 383: 1970', 'IS 6579: 1981', 'IS 12440: 1988', 'IS 2116: 1980', 'IS 9142: 1979']",1,True,1.0,0.0252
ROB-02-11,noisy_typos,Coarse and Fine Aggregates,natural agregate concret specification,['IS 383: 1970'],"['IS 324: 1959', 'IS 14772: 2000', 'IS 2250: 1981', 'IS 875 (Part 1): 1987', 'IS 3658: 1999']",0,False,0.0,0.0106
ROB-02-12,direct_code,Coarse and Fine Aggregates,Tell me about IS 383: 1970,['IS 383: 1970'],"['IS 383: 1970', 'IS 2116: 1980', 'IS 9142: 1979', 'IS 4832 (Part 3): 1968', 'IS 4456 (Part 2): 1967']",1,True,1.0,0.0069
ROB-02-13,hinglish,Coarse and Fine Aggregates,concrete ke liye coarse fine aggregate standard,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 9142: 1979']",1,True,1.0,0.0317
ROB-02-14,hinglish,Coarse and Fine Aggregates,natural aggregate concrete ka IS code batao,['IS 383: 1970'],"['IS 383: 1970', 'IS 5640: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 9142: 1979']",1,True,1.0,0.0358
ROB-02-15,hindi_devanagari,Coarse and Fine Aggregates,संरचनात्मक कंक्रीट के लिए प्राकृतिक मोटा और महीन एग्रीगेट मानक,['IS 383: 1970'],"['IS 269: 1989', 'IS 383: 1970', 'IS 458: 2003', 'IS 455: 1989', 'IS 459: 1992']",2,True,0.5,0.0019
ROB-02-16,hindi_devanagari,Coarse and Fine Aggregates,संरचनात्मक कंक्रीट के लिए प्राकृतिक मोटा और महीन एग्रीगेट मानक कौन सा है,['IS 383: 1970'],"['IS 269: 1989', 'IS 383: 1970', 'IS 458: 2003', 'IS 455: 1989', 'IS 459: 1992']",2,True,0.5,0.0032
ROB-02-17,spanish,Coarse and Fine Aggregates,agregados gruesos y finos de fuentes naturales para concreto estructural,['IS 383: 1970'],"['IS 1536: 1989', 'IS 13382: 1992', 'IS 1537: 1976', 'IS 8329: 2000', 'IS 5382: 1985']",0,False,0.0,0.0196
ROB-02-18,spanish,Coarse and Fine Aggregates,norma BIS para agregados gruesos y finos de fuentes naturales para concreto estructural,['IS 383: 1970'],"['IS 1536: 1989', 'IS 13382: 1992', 'IS 1537: 1976', 'IS 8329: 2000', 'IS 5382: 1985']",0,False,0.0,0.0173
ROB-02-19,french,Coarse and Fine Aggregates,granulats grossiers et fins naturels pour beton structurel,['IS 383: 1970'],"['IS 1838 (Part 1): 1983', 'IS 269: 1989', 'IS 383: 1970', 'IS 458: 2003', 'IS 455: 1989']",3,True,0.3333333333333333,0.0111
ROB-02-20,tamil_transliterated,Coarse and Fine Aggregates,structural concrete coarse fine aggregate standard enna,['IS 383: 1970'],"['IS 383: 1970', 'IS 3068: 1986', 'IS 2686: 1977', 'IS 5640: 1970', 'IS 3182: 1986']",1,True,1.0,0.0402
ROB-03-01,english_public_like,Precast Concrete Pipes,We manufacture Precast Concrete Pipes. Which BIS standard covers it?,['IS 458: 2003'],"['IS 458: 2003', 'IS 4985: 1988', 'IS 5382: 1985', 'IS 14241: 1995', 'IS 7322: 1985']",1,True,1.0,0.038
ROB-03-02,english_public_like,Precast Concrete Pipes,What Indian Standard applies to precast concrete pipes reinforced unreinforced water mains?,['IS 458: 2003'],"['IS 458: 2003', 'IS 4985: 1988', 'IS 5382: 1985', 'IS 4984: 1995', 'IS 4985: 2000']",1,True,1.0,0.0349
ROB-03-03,english_public_like,Precast Concrete Pipes,Need specification for Precast Concrete Pipes including requirements and testing.,['IS 458: 2003'],"['IS 458: 2003', 'IS 4985: 1988', 'IS 12235: 1986', 'IS 6307: 1987', 'IS 1784: 2001']",1,True,1.0,0.0413
ROB-03-04,english_public_like,Precast Concrete Pipes,Find the IS code for a product described as precast concrete pipes reinforced unreinforced water mains.,['IS 458: 2003'],"['IS 458: 2003', 'IS 4985: 1988', 'IS 5382: 1985', 'IS 4984: 1995', 'IS 4985: 2000']",1,True,1.0,0.0449
ROB-03-05,short_telegraphic,Precast Concrete Pipes,RCC concrete pipe water main,['IS 458: 2003'],"['IS 458: 2003', 'IS 1916: 1989', 'IS 7322: 1985', 'IS 5382: 1985', 'IS 4984: 1995']",1,True,1.0,0.0353
ROB-03-06,short_telegraphic,Precast Concrete Pipes,RCC concrete pipe water main BIS,['IS 458: 2003'],"['IS 458: 2003', 'IS 1916: 1989', 'IS 7322: 1985', 'IS 5382: 1985', 'IS 4984: 1995']",1,True,1.0,0.0334
ROB-03-07,short_telegraphic,Precast Concrete Pipes,RCC concrete pipe water main standard,['IS 458: 2003'],"['IS 458: 2003', 'IS 4985: 1988', 'IS 1916: 1989', 'IS 5382: 1985', 'IS 4984: 1995']",1,True,1.0,0.0482
ROB-03-08,underspecified,Precast Concrete Pipes,cement pipe for water line,['IS 458: 2003'],"['IS 1626 (Part 2): 1994', 'IS 1626 (Part 1): 1994', 'IS 14182: 1994', 'IS 1626: 1984', 'IS 13382: 2004']",0,False,0.0,0.0068
ROB-03-09,underspecified,Precast Concrete Pipes,which standard for cement pipe for water line,['IS 458: 2003'],"['IS 10124 (Part 1): 1988', 'IS 324: 1959', 'IS 1626: 1984', 'IS 3468: 1991', 'IS 875 (Part 1): 1987']",0,False,0.0,0.0135
ROB-03-10,noisy_typos,Precast Concrete Pipes,precast concret pipes reinfrced unreinfrced water mains,['IS 458: 2003'],"['IS 458: 2003', 'IS 5382: 1985', 'IS 4984: 1995', 'IS 4985: 2000', 'IS 7322: 1985']",1,True,1.0,0.0313
ROB-03-11,noisy_typos,Precast Concrete Pipes,rcc concret pipe water main specification,['IS 458: 2003'],"['IS 458: 2003', 'IS 4985: 1988', 'IS 1916: 1989', 'IS 14241: 1995', 'IS 4984: 1995']",1,True,1.0,0.0338
ROB-03-12,direct_code,Precast Concrete Pipes,Tell me about IS 458: 2003,['IS 458: 2003'],"['IS 458: 2003', 'IS 383: 1970', 'IS 4832 (Part 3): 1968', 'IS 4456 (Part 2): 1967', 'IS 4442: 1980']",1,True,1.0,0.0056
ROB-03-13,hinglish,Precast Concrete Pipes,paani main ke liye precast concrete pipe BIS code,['IS 458: 2003'],"['IS 458: 2003', 'IS 5382: 1985', 'IS 4984: 1995', 'IS 4985: 2000', 'IS 7322: 1985']",1,True,1.0,0.0256
ROB-03-14,hinglish,Precast Concrete Pipes,RCC concrete pipe water main ka IS code batao,['IS 458: 2003'],"['IS 458: 2003', 'IS 4985: 1988', 'IS 1916: 1989', 'IS 5382: 1985', 'IS 4984: 1995']",1,True,1.0,0.044
ROB-03-15,hindi_devanagari,Precast Concrete Pipes,जल मुख्य लाइन के लिए प्रीकास्ट कंक्रीट पाइप का मानक,['IS 458: 2003'],"['IS 269: 1989', 'IS 383: 1970', 'IS 458: 2003', 'IS 455: 1989', 'IS 459: 1992']",3,True,0.3333333333333333,0.0015
ROB-03-16,hindi_devanagari,Precast Concrete Pipes,जल मुख्य लाइन के लिए प्रीकास्ट कंक्रीट पाइप का मानक कौन सा है,['IS 458: 2003'],"['IS 269: 1989', 'IS 383: 1970', 'IS 458: 2003', 'IS 455: 1989', 'IS 459: 1992']",3,True,0.3333333333333333,0.0025
ROB-03-17,spanish,Precast Concrete Pipes,tubos de concreto prefabricado para conducciones de agua con refuerzo,['IS 458: 2003'],"['IS 1566: 1982', 'IS 1536: 1989', 'IS 13382: 1992', 'IS 1537: 1976', 'IS 8329: 2000']",0,False,0.0,0.0122
