id,style,target_name,query,expected_standards,retrieved_standards,rank,hit_at_3,reciprocal_rank,latency_seconds
ROB-01-01,english_public_like,33 Grade Ordinary Portland Cement,We manufacture 33 Grade Ordinary Portland Cement. Which BIS standard covers it?,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0492
ROB-01-02,english_public_like,33 Grade Ordinary Portland Cement,What Indian Standard applies to 33 grade ordinary portland cement OPC chemical physical requirements?,['IS 269: 1989'],"['IS 269: 1989', 'IS 4985: 1988', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 455: 1989']",1,True,1.0,0.0539
ROB-01-03,english_public_like,33 Grade Ordinary Portland Cement,Need specification for 33 Grade Ordinary Portland Cement including requirements and testing.,['IS 269: 1989'],"['IS 269: 1989', 'IS 4985: 1988', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 455: 1989']",1,True,1.0,0.0619
ROB-01-04,english_public_like,33 Grade Ordinary Portland Cement,Find the IS code for a product described as 33 grade ordinary portland cement OPC chemical physical requirements.,['IS 269: 1989'],"['IS 269: 1989', 'IS 4985: 1988', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 455: 1989']",1,True,1.0,0.0482
ROB-01-05,short_telegraphic,33 Grade Ordinary Portland Cement,OPC 33 grade,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0459
ROB-01-06,short_telegraphic,33 Grade Ordinary Portland Cement,OPC 33 grade BIS,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.0428
ROB-01-07,short_telegraphic,33 Grade Ordinary Portland Cement,OPC 33 grade standard,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.052
ROB-01-08,underspecified,33 Grade Ordinary Portland Cement,normal cement grade 33,['IS 269: 1989'],"['IS 269: 1989', 'IS 8112: 1989', 'IS 12269: 1987', 'IS 8043: 1991', 'IS 7834 (Part 6): 1987']",1,True,1.0,0.0252
ROB-01-09,underspecified,33 Grade Ordinary Portland Cement,which standard for normal cement grade 33,['IS 269: 1989'],"['IS 269: 1989', 'IS 4985: 1988', 'IS 8112: 1989', 'IS 12269: 1987', 'IS 8043: 1991']",1,True,1.0,0.0249
ROB-01-10,noisy_typos,33 Grade Ordinary Portland Cement,33 grade ordinary portlnd cemnt opc chemicl phisical reqrmnts,['IS 269: 1989'],"['IS 269: 1989', 'IS 12269: 1987', 'IS 8112: 1989', 'IS 8043: 1991', 'IS 7834 (Part 4): 1987']",1,True,1.0,0.042
